category,agency,account,project,recipient,location,state,budget_request,additional_amount,amount,origination,requestor_one_full_name,requestor_one_bioguide_id,requestor_one_chamber,requestor_one_party,requestor_two_full_name,requestor_two_bioguide_id,requestor_two_chamber,requestor_two_party,requestor_three_full_name,requestor_three_bioguide_id,requestor_three_chamber,requestor_three_party,requestor_four_full_name,requestor_four_bioguide_id,requestor_four_chamber,requestor_four_party,requestor_five_full_name,requestor_five_bioguide_id,requestor_five_chamber,requestor_five_party,requestor_six_full_name,requestor_six_bioguide_id,requestor_six_chamber,requestor_six_party,requestor_seven_full_name,requestor_seven_bioguide_id,requestor_seven_chamber,requestor_seven_party,requestor_eight_full_name,requestor_eight_bioguide_id,requestor_eight_chamber,requestor_eight_party,requestor_nine_full_name,requestor_nine_bioguide_id,requestor_nine_chamber,requestor_nine_party
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Community Food Space Expansion,Flint River Fresh,,GA,,,299000,S,Jon Ossoff,O000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Eatonton City Center Community Facility,City of Eatonton,,GA,,,250000,S,Raphael G. Warnock,W000790,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Warren Volunteer Fire Department,County of Warren,,GA,,,1400000,S,Raphael G. Warnock,W000790,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Bethea Hospital Facility Improvements,Katherine Shaw Bethea Hospital,,IL,,,334000,S,Tammy Duckworth,D000622,sen,Democrat,Richard J. Durbin,D000563,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Plainville Public Building Renovations,Main Street Development,,KS,,,100000,S,Jerry Moran,M000934,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Corinna Fire Station Improvements,Town of Corinna,,ME,,,1725000,S,Susan M. Collins,C001035,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Harrison Foodbank Expansion,Harrison Food Bank,,ME,,,388888,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Millinocket Library,Millinocket Memorial Library,,ME,,,56000,S,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Washburn Public Safety Building Improvements,Town of Washburn,,ME,,,750000,S,Susan M. Collins,C001035,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Machiasport Public Works Building Improvements,Town of Machiasport,,ME,,,1125000,S,Susan M. Collins,C001035,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,St. Albans Town Hall Improvements,Town of St. Albans,,ME,,,23000,S,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Cass County Courthouse Renovation,Cass County,,MI,,,1500000,S,Gary C. Peters,P000595,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Three Rivers Hospital Redevelopment,City of Three Rivers,,MI,,,750000,S,Gary C. Peters,P000595,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Mobile Wi-Fi Unit,Capital Area United Way,,MI,,,76000,S,Debbie Stabenow,S000770,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Childcare Facility,Prairie Pines Childcare Center,,MN,,,418000,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Grand Portage Community Center Upgrades,Grand Portage Band of Lake Superior,,MN,,,157000,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Dilworth Fire Hall,City of Dilworth,,MN,,,975000,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Northern Kandiyohi County Food Pantry,The Link of Northern Kandiyohi County,,MN,,,193000,S,Adam Smith,S000510,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,New London Library and City Hall,City of New London,,MN,,,665000,S,Amy Klobuchar,K000367,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Chisholm Public Safety Building,City of Chisholm,,MN,,,3500000,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Campton Emergency Communications Initiative,Town of Campton,,NH,,,175000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Children’s Learning Center,Mid-State Community Development Corporation,,NH,,,200000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Mt. Washington Valley Facility Improvements,Mt. Washington Valley Economic Council,,NH,,,200000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Fire Sprinkler System,City of Claremont,,NH,,,100000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Northumberland Public Safety Building,Town of Northumberland,,NH,,,200000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Swanzey Center Fire Station,Town of Swanzey,,NH,,,200000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Penns Grove Facility Improvements,Borough of Penns Grove,,NJ,,,413000,S,Cory A. Booker,B001288,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Foodbank Expansion,Norwescap Foodbank,,NJ,,,1050000,S,Cory A. Booker,B001288,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Questa Fire Station,Village of Questa,,NM,,,1000000,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Questa Municipal Building Expansion,Village of Questa,,NM,,,350000,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Sunland Park Public Safety Complex,City of Sunland Park,,NM,,,950000,S,Martin Heinrich,H001046,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Wagon Mound Senior Center,Village of Wagon Mound,,NM,,,164000,S,Ben Ray Luján,L000570,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Chemung Center for Innovation,Waverly Central School District,,NY,,,2750113,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Glen Falls City Hall Restoration,City of Glens Falls,,NY,,,439000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,North Collins Community Center,Town of North Collins,,NY,,,89000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Herkimer County Daycare,Herkimer County,,NY,,,315000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Family YMCA,YMCA of Plattsburgh,,NY,,,1973000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Food and Agriculture Culinary Hub,Hunter Foundation Inc,,NY,,,500000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Greenhouse,The Center for Discovery,,NY,,,605000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Healthy Neighborhoods Project,BluePrint Geneva,,NY,,,44000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Montville Fire Department Upgrades,Montville Fire Department,,OH,,,637000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Arrowhead Fire District Expansion,Arrowhead Joint Fire District,,OH,,,74000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Sandy Creek Fire District Ladder Truck,Sandy Creek Joint Fire District,,OH,,,195000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Fremont Community Amphitheater Project,City of Fremont,,OH,,,1608000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Fremont Senior Center Expansion,Great Lakes Community Action Partnership,,OH,,,184000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Government Services Building,Mead Township,,OH,,,75000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Police Department Building Project,Carroll Township Police Department,,OH,,,160000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Broadband Solar Trailers,Sherman County Court,,OR,,,50000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Community Center in Response to Wildfire Recovery,Detroit Lake Foundation,,OR,,,500000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Community Connection Food Bank,Community Connection of Northeast Oregon,,OR,,,50000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Oregon Food Bank,Oregon Food Bank,,OR,,,100000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Fossil Library,Friends of Fossil Library,,OR,,,50000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Warm Springs Commissary Project,Warm Springs Community Action Team,,OR,,,450000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,PA Foodbank Expansion,Commission on Economic Opportunity,,PA,,,250000,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Cooperative Hub,Fuerza Laboral,,RI,,,157000,S,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Warren Fire and EMS Center,Town of Warren,,RI,,,2000000,S,Jack Reed,R000122,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Modular Building Construction,Cowden Street Collaborative dba Segue Institute,,RI,,,250000,S,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Richmond Police Station Renovations,Town of Richmond,,RI,,,150000,S,Jack Reed,R000122,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Calfee Community Center,Town of Pulaski,,VA,,,38000,S,Mark R. Warner,W000805,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Historic Konnarock Training School,Blue Ridge Discovery Center,,VA,,,50000,S,Tim Kaine,K000384,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Alburgh Childcare and Early Education Expansion,Alburgh Family Clubhouse,,VT,,,189000,S,Bernard Sanders,S000033,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Community Center Waste Water Project,Town of Groton,,VT,,,200000,S,Patrick J. Leahy,L000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Downtown Child Care Center,Southwestern Vermont Medical Center,,VT,,,750000,S,Patrick J. Leahy,L000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Catamount Film and Arts Facility Improvements,Catamount Film and Arts,,VT,,,109000,S,Patrick J. Leahy,L000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Jeudevine Memorial Library,Jeudevine Memorial Library,,VT,,,600000,S,Patrick J. Leahy,L000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Castleton Library,Town of Castleton,,VT,,,125000,S,Bernard Sanders,S000033,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Sheldon Store Restoration,Rupert Village Trust,,VT,,,120000,S,Patrick J. Leahy,L000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Three Rivers Lamoille Valley Rail Trail,Town of St. Johnsbury,,VT,,,543000,S,Patrick J. Leahy,L000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Columbia County Childcare Center,Columbia County Health System,,WA,,,413000,S,Maria Cantwell,C000127,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Dylan Jude Harrell Community Center,Dylan Jude Harrell DIPG Foundation,,WA,,,1275000,S,Maria Cantwell,C000127,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Accessibility Updates,Frederic Arts,,WI,,,23000,S,Tammy Baldwin,B001230,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Ambulance Services,Glidden Area Ambulance Service,,WI,,,151000,S,Tammy Baldwin,B001230,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,College Student Housing,Lac Courte Oreilles Ojibwe College,,WI,,,5000000,S,Tammy Baldwin,B001230,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Food Pantry Upgrades,Southwestern Wisconsin Community Action Program,,WI,,,54000,S,Tammy Baldwin,B001230,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Hospital Replacement Facility,Memorial Hospital of Lafayette County,,WI,,,4000000,S,Tammy Baldwin,B001230,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Sparta Free Library,Friends of the Sparta Free Library,,WI,,,250000,S,Tammy Baldwin,B001230,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
